0000,1.8948,1.8905,2.1588,2.1583
5014,1.8952,1.8907,2.1591,2.1583
10002,1.8956,1.8911,2.1599,2.1596
15013,1.8957,1.891,2.1598,2.1597
19999,1.8952,1.8911,2.1589,2.1582
25009,1.8958,1.8915,2.1604,2.1598
30003,1.8956,1.8911,2.16,2.1595
35008,1.8958,1.8914,2.1597,2.1593
40004,1.895,1.8905,2.1586,2.158
45002,1.8949,1.891,2.1593,2.1585
50006,1.8951,1.8907,2.1585,2.1578
55008,1.8953,1.8907,2.1597,2.1594
60013,1.8958,1.8914,2.1604,2.16
65014,1.8956,1.8913,2.1601,2.1597
70001,1.8954,1.8908,2.1599,2.1595
75004,1.8952,1.8905,2.1588,2.1586
80005,1.8954,1.8909,2.1596,2.1592
85003,1.8958,1.8917,2.1609,2.1602
90009,1.8957,1.8914,2.1604,2.1599
94999,1.8955,1.8907,2.1594,2.1592
100013,1.8957,1.8914,2.1604,2.16
105000,1.8951,1.8907,2.1592,2.1583
110001,1.8956,1.8912,2.1602,2.1598
114999,1.8956,1.8908,2.1595,2.1596
120002,1.8958,1.8913,2.1604,2.16
125009,1.8956,1.8914,2.1606,2.1599
130010,1.8947,1.8905,2.1585,2.1579
134999,1.8953,1.8909,2.1597,2.1594
140012,1.8958,1.8914,2.1605,2.16
145012,1.8955,1.8915,2.1604,2.1598
150006,1.8948,1.8901,2.158,2.1573
155008,1.8954,1.8907,2.1597,2.1594
160004,1.8949,1.8905,2.1591,2.1586
165007,1.8946,1.8902,2.1587,2.158
170002,1.895,1.8905,2.1591,2.1585
175005,1.8954,1.8908,2.1594,2.1593
180009,1.8954,1.8911,2.1604,2.16
185008,1.8959,1.8915,2.1606,2.16
190005,1.8956,1.8913,2.1603,2.1597
195009,1.8948,1.8902,2.1581,2.1577
199999,1.8947,1.8904,2.1592,2.1587
205000,1.8947,1.8903,2.1587,2.1581
210003,1.8947,1.8904,2.1587,2.158
215008,1.8945,1.889,2.1584,2.1579
220001,1.8954,1.8908,2.16,2.1596
225008,1.8947,1.8902,2.1585,2.1578
230014,1.8952,1.8908,2.1593,2.1585
235005,1.8946,1.8902,2.1587,2.1581
240014,1.8955,1.8909,2.1599,2.1596
